    t, "Nx2D", "Nx2E", "Nx2F"
    0, -5556, 8718, -12085
    1, -6119, 8718, -11092
    2, -6699, 8718, -10301
    3, -6956, 8718, -9712
    4, -6894, 9105, -9739
    5, -6742, 9571, -9783
    6, -6663, 9966, -9862
    7, -6399, 9931, -10310
    8, -5880, 9931, -10952
    9, -5494, 9914, -11628
   10, -5532, 9500, -11576
   11, -5515, 9017, -11611
   12, -5576, 8569, -11628
   13, -6086, 8560, -10837
