t,'Nx2F','Nx2E','Nx2D'
0,3698.019903020024,-4883.786649998005,5419.463694500899
1,3050.5704856637694,-5414.022288695438,3295.7159155542413
2,2920.305477445234,-6201.18568297793,2726.883380030088
3,3783.6989950055126,-5090.892402706584,4550.877826662905
4,3698.019903020024,-4883.786649998005,5419.463694500899
