    t, "Nx2D", "Nx2E", "Nx2F"
    0, -5353, 8894, -12850
    1, -5775, 8903, -11927
    2, -6206, 8929, -11374
    3, -6285, 9210, -11321
    4, -6302, 9457, -11294
    5, -6302, 9659, -11294
    6, -6293, 9843, -11294
    7, -6285, 9544, -11303
    8, -5951, 9536, -11760
    9, -5538, 9518, -12340
   10, -5388, 9509, -12622
   11, -5502, 9509, -12332
   12, -5511, 9360, -12349
   13, -5476, 9210, -12411
   14, -5502, 8982, -12384
   15, -5432, 8815, -12437
   16, -5423, 8701, -12437
   17, -5467, 8850, -12455
