    t, "Nx2D", "Nx2E", "Nx2F"
    0, -5274, 8683, -12964
    1, -5713, 8674, -12279
    2, -6232, 8666, -11567
    3, -6311, 8991, -11444
    4, -6329, 9254, -11417
    5, -6329, 9492, -11435
    6, -5863, 9492, -12068
    7, -5379, 9509, -12850
    8, -5344, 9254, -12903
    9, -5327, 9114, -12912
   10, -5274, 8692, -12973
   11, -5907, 8683, -11989
   12, -6250, 8683, -11505
   13, -5828, 8683, -12094
   14, -5292, 8692, -12947
